a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,centroid_long,centroid_lat,area_sq_m
0.1413,0,DA,266,251,59170175,530,59170175,5917,5917034,9350009.0,59935,-123.33875166781006,48.43057153596372,1.720769705036073e-05
0.2327,0,DA,292,280,59170600,557,59170600,5917,5917034,9350007.0,59935,-123.32869565813554,48.43223115608813,2.8098205599494563e-05
0.1312,0,DA,253,245,59170601,592,59170601,5917,5917034,9350009.0,59935,-123.33535998924435,48.43221615133803,1.593983832120057e-05
0.0964,0,DA,248,233,59170140,541,59170140,5917,5917034,9350009.0,59935,-123.34386280930543,48.43175972683218,1.1711813011693741e-05
0.0989,0,DA,233,228,59170139,553,59170139,5917,5917034,9350009.0,59935,-123.34097516662709,48.43291480198086,1.2030845139699812e-05
0.1486,0,DA,282,269,59170598,639,59170598,5917,5917034,9350014.01,59935,-123.33174039230805,48.43533473279549,1.7948508974919636e-05
0.1188,0,DA,200,181,59170138,476,59170138,5917,5917034,9350014.01,59935,-123.3394074686652,48.436491065615606,1.4424876193333687e-05
0.1183,0,DA,217,202,59170137,493,59170137,5917,5917034,9350014.01,59935,-123.3427655509079,48.435931131358295,1.4368269258263127e-05
0.0401,0,DA,437,419,59170161,631,59170161,5917,5917034,9350010.02,59935,-123.35876128879458,48.429472584033434,4.864393248917107e-06
0.1778,0,DA,234,209,59170143,463,59170143,5917,5917034,9350009.0,59935,-123.34905761169314,48.430248810051594,2.162514365762453e-05
0.0992,0,DA,188,182,59170808,277,59170808,5917,5917034,9350010.02,59935,-123.35893366274345,48.430968484727394,1.205728374974467e-05
0.1527,0,DA,387,368,59170144,670,59170144,5917,5917034,9350010.02,59935,-123.3551796925048,48.43201516772388,1.8594848584860182e-05
0.0757,0,DA,332,317,59170141,615,59170141,5917,5917034,9350009.0,59935,-123.34663742393056,48.43324782228251,9.170089456091533e-06
0.0513,0,DA,232,224,59170806,375,59170806,5917,5917034,9350010.02,59935,-123.36019919725632,48.433230899131225,6.23907634618489e-06
0.1145,0,DA,322,305,59170142,583,59170142,5917,5917034,9350009.0,59935,-123.35015506663767,48.4331491339328,1.3931623080283743e-05
0.0657,0,DA,236,214,59170145,417,59170145,5917,5917034,9350010.02,59935,-123.35523718644703,48.4344442425867,7.974054739076331e-06
0.0567,0,DA,242,231,59170148,401,59170148,5917,5917034,9350013.01,59935,-123.36085896479275,48.43538466474194,6.8620586553900015e-06
0.0421,0,DA,303,287,59170147,447,59170147,5917,5917034,9350013.01,59935,-123.35895659591293,48.43567647069994,5.11760556712733e-06
0.2283,0,DA,263,257,59170599,554,59170599,5917,5917021,9350123.01,59935,-123.32620275852786,48.43353646727398,5.78777758862005e-07
0.2043,0,DA,308,292,59170222,728,59170222,5917,5917021,9350123.01,59935,-123.32814372167839,48.43868072502622,1.0306272790340432e-09
0.0849,0,DA,377,363,59170554,538,59170554,5917,5917034,9350003.01,59935,-123.37177702334816,48.40974208597766,1.0558730194750842e-05
0.1088,0,DA,304,288,59170302,571,59170302,5917,5917034,9350003.01,59935,-123.37563941763074,48.41104653019729,1.3268274899314296e-05
0.0571,0,DA,278,270,59170555,601,59170555,5917,5917034,9350003.01,59935,-123.36985693122769,48.41148807194383,6.931072672229489e-06
0.0293,0,DA,286,278,59170301,412,59170301,5917,5917034,9350003.01,59935,-123.3747160411595,48.41274604433719,3.5366692888797224e-06
0.8021,0,DA,497,469,59170295,670,59170295,5917,5917034,9350002.0,59935,-123.36284664255312,48.412113432763185,9.841445537856183e-05
0.092,0,DA,334,309,59170300,526,59170300,5917,5917034,9350003.01,59935,-123.37236652787101,48.413446197211634,1.1155941031841505e-05
0.096,0,DA,409,393,59170303,669,59170303,5917,5917034,9350003.01,59935,-123.37856324780667,48.41367537125478,1.1669938541103463e-05
0.0561,0,DA,510,467,59170296,727,59170296,5917,5917034,9350003.02,59935,-123.36778467094777,48.414515293348906,6.795979840286282e-06
0.055,0,DA,276,256,59170299,464,59170299,5917,5917034,9350003.02,59935,-123.37058301577507,48.414624947011056,6.696601037692381e-06
0.0314,0,DA,330,316,59170304,541,59170304,5917,5917034,9350003.01,59935,-123.37556848750056,48.41497633431471,3.817640329215882e-06
0.0568,0,DA,449,437,59170305,674,59170305,5917,5917034,9350003.01,59935,-123.37786225173679,48.416068555983536,6.888191267612747e-06
0.0389,0,DA,420,369,59170297,539,59170297,5917,5917034,9350003.02,59935,-123.36737430194965,48.41653907569485,4.72938619577977e-06
0.0912,0,DA,854,803,59170610,1275,59170610,5917,5917034,9350003.02,59935,-123.37502710817026,48.416959770221645,1.1077217541941057e-05
0.0387,0,DA,357,329,59170308,511,59170308,5917,5917034,9350003.02,59935,-123.37464250099742,48.418325248699354,4.728839141719048e-06
0.2941,0,DA,598,560,59170298,1021,59170298,5917,5917034,9350003.02,59935,-123.37057379620234,48.418786005417914,3.56930272099436e-05
0.076,0,DA,413,398,59170309,734,59170309,5917,5917034,9350003.02,59935,-123.37892230703129,48.41928517276045,9.22459002363281e-06
0.1897,0,DA,1192,928,59170814,1503,59170814,5917,5917034,9350010.01,59935,-123.36339568557351,48.422267947544626,2.3067653258073355e-05
0.2083,0,DA,828,720,59170311,1188,59170311,5917,5917034,9350003.02,59935,-123.37838435370001,48.422073383974684,2.5324598253923272e-05
0.3134,0,DA,504,430,59170811,666,59170811,5917,5917034,9350010.01,59935,-123.36758159316274,48.42457457452512,3.815217724511392e-05
0.1293,0,DA,486,384,59170809,787,59170809,5917,5917034,9350010.01,59935,-123.36425984626132,48.427863743214196,1.5721881796456275e-05
0.1557,0,DA,354,344,59170313,622,59170313,5917,5917034,9350003.01,59935,-123.38172213161134,48.416717212057684,1.893312681072336e-05
0.3174,0,DA,426,399,59170312,833,59170312,5917,5917034,9350003.01,59935,-123.38618626577392,48.41831823860888,3.8512256226996834e-05
0.0563,0,DA,167,157,59170310,325,59170310,5917,5917034,9350003.02,59935,-123.38108613292768,48.420645337113655,6.843326130742302e-06
0.0752,0,DA,433,424,59170378,599,59170378,5917,5917034,9350011.01,59935,-123.39130138260079,48.42963915465875,9.121204786501323e-06
0.0913,0,DA,378,361,59170820,621,59170820,5917,5917034,9350011.01,59935,-123.38726494352012,48.42945304637837,1.1096498290366282e-05
0.1447,0,DA,346,321,59170376,608,59170376,5917,5917034,9350011.01,59935,-123.38910649834087,48.43167007773038,1.755018992229747e-05
0.1065,0,DA,211,201,59170375,467,59170375,5917,5917034,9350011.01,59935,-123.38458900851509,48.43409110790014,1.2949788926904574e-05
0.1228,0,DA,224,220,59170371,556,59170371,5917,5917034,9350011.01,59935,-123.39174113976338,48.43412139300054,1.4776999813602227e-05
0.2537,0,DA,1214,1075,59170819,1788,59170819,5917,5917034,9350011.02,59935,-123.37961448368074,48.42794755321598,3.083623903871036e-05
0.1144,0,DA,1001,889,59170807,1355,59170807,5917,5917034,9350010.01,59935,-123.36436200203933,48.430684992141224,1.3904292702395041e-05
0.1519,0,DA,315,296,59170723,477,59170723,5917,5917034,9350011.02,59935,-123.37651802464278,48.43048908900253,1.8442383120129684e-05
0.3165,0,DA,785,550,59170805,884,59170805,5917,5917034,9350010.01,59935,-123.36788861005539,48.431639780830494,3.8466645459660825e-05
0.1344,0,DA,675,651,59170722,1086,59170722,5917,5917034,9350011.02,59935,-123.38082187445225,48.431192067442275,1.633719956254117e-05
0.2251,0,DA,309,245,59170150,753,59170150,5917,5917034,9350013.01,59935,-123.36495617030687,48.43831473781078,2.7374728406392602e-05
0.6162,0,DA,515,486,59170383,1126,59170383,5917,5917034,9350012.0,59935,-123.37376173408576,48.43784003880883,7.489359099787376e-05
0.1651,0,DA,307,291,59170384,586,59170384,5917,5917034,9350012.0,59935,-123.37062163941668,48.44049352636249,1.9995163352168324e-05
0.1269,0,DA,346,332,59170386,727,59170386,5917,5917034,9350012.0,59935,-123.3787659510985,48.44420375073068,1.5389281746476187e-05
0.2902,0,DA,242,225,59170385,447,59170385,5917,5917034,9350012.0,59935,-123.37392399172562,48.44480921600558,3.521968087852224e-05
0.106,0,DA,202,195,59170373,457,59170373,5917,5917034,9350011.01,59935,-123.38791781375811,48.43470658753136,1.2861429399175823e-05
0.1179,0,DA,403,383,59170817,644,59170817,5917,5917034,9350011.02,59935,-123.38174893819591,48.43532739970995,1.435593739066391e-05
0.0962,0,DA,267,263,59170370,523,59170370,5917,5917040,9350111.02,59935,-123.39393431982941,48.436369786525376,3.6658831225607854e-08
0.1008,0,DA,222,211,59170372,495,59170372,5917,5917034,9350011.01,59935,-123.39125091426712,48.43703174984485,1.224128858704373e-05
0.1752,0,DA,242,232,59170369,512,59170369,5917,5917040,9350111.02,59935,-123.39337828403212,48.43849053305041,5.051947841096634e-08
0.2085,0,DA,233,224,59170816,568,59170816,5917,5917034,9350011.01,59935,-123.38915497393087,48.43893987542571,2.5341940259822178e-05
0.0557,0,DA,361,351,59170367,674,59170367,5917,5917040,9350111.02,59935,-123.39357941714344,48.44057156971629,3.840357274473907e-08
0.1474,0,DA,743,731,59170390,1320,59170390,5917,5917034,9350012.0,59935,-123.38640361028737,48.442161052971315,1.7917901990076188e-05
0.1287,0,DA,354,345,59170366,755,59170366,5917,5917040,9350111.02,59935,-123.39267710477124,48.44206819762574,1.1058482134551271e-07
0.1066,0,DA,314,306,59170365,499,59170365,5917,5917021,9350126.0,59935,-123.39108749101491,48.443349761651376,1.754598191191853e-08
0.0705,0,DA,240,228,59170387,463,59170387,5917,5917034,9350012.0,59935,-123.38165320251784,48.44528404648592,8.563443291428265e-06
0.1622,0,DA,382,365,59170389,699,59170389,5917,5917034,9350012.0,59935,-123.3870277884108,48.44554069351161,1.95678309726227e-05
0.112,0,DA,217,207,59170388,511,59170388,5917,5917034,9350012.0,59935,-123.38370383965835,48.445967639593135,1.3620665028391693e-05
0.1044,0,DA,357,346,59170364,688,59170364,5917,5917021,9350126.0,59935,-123.3901759991098,48.44420989212309,1.7617965751061224e-08
0.177,0,DA,313,303,59170362,662,59170362,5917,5917021,9350126.0,59935,-123.38467413937998,48.44941065073268,4.087881994652066e-10
0.1626,0,DA,235,225,59170360,571,59170360,5917,5917021,9350126.0,59935,-123.38317102621292,48.44872189429102,3.1386665329442795e-08
0.5252,0,DA,331,309,59170127,673,59170127,5917,5917034,9350013.02,59935,-123.36508488354758,48.44486504598374,6.381391208130437e-05
0.0883,0,DA,256,248,59170744,507,59170744,5917,5917021,9350126.0,59935,-123.38133499128722,48.4478056509628,1.7601120057006494e-08
0.0531,0,DA,447,432,59170124,685,59170124,5917,5917021,9350125.01,59935,-123.36282578015343,48.448853787517564,2.799054388846652e-08
0.115,0,DA,454,440,59170125,820,59170125,5917,5917021,9350125.01,59935,-123.36523795588559,48.448573580335896,2.3341082847691158e-08
0.4027,0,DA,399,386,59170392,780,59170392,5917,5917021,9350125.01,59935,-123.36964345605422,48.448058185369234,4.4456323010186833e-08
0.4274,0,DA,238,227,59170743,483,59170743,5917,5917021,9350126.0,59935,-123.37390894383431,48.44756118775893,1.4884088804700968e-08
0.0977,0,DA,358,340,59170146,652,59170146,5917,5917034,9350013.01,59935,-123.35596285253999,48.43648078245815,1.1875672474456358e-05
0.1132,0,DA,239,229,59170136,517,59170136,5917,5917034,9350014.01,59935,-123.34694498089983,48.4367881737111,1.3797485826131205e-05
0.1059,0,DA,217,209,59170157,480,59170157,5917,5917034,9350014.01,59935,-123.35011008754492,48.436365332959575,1.2873891862719502e-05
0.0841,0,DA,225,218,59170149,671,59170149,5917,5917034,9350013.01,59935,-123.36112427759544,48.43780115090239,1.018740753641514e-05
0.0974,0,DA,359,341,59170155,649,59170155,5917,5917034,9350013.01,59935,-123.3531623388112,48.438082718143264,1.1871407394235873e-05
0.0657,0,DA,436,424,59170153,740,59170153,5917,5917034,9350013.01,59935,-123.35689839658967,48.438729787724895,7.972793066122116e-06
0.1186,0,DA,284,271,59170134,662,59170134,5917,5917034,9350014.01,59935,-123.34831423949873,48.43988105077114,1.442815458707075e-05
0.1057,0,DA,331,314,59170151,585,59170151,5917,5917034,9350013.01,59935,-123.36163923259964,48.440721559773365,1.291316419871861e-05
0.0527,0,DA,250,231,59170152,534,59170152,5917,5917034,9350013.02,59935,-123.35842701957694,48.440858442703416,6.421394589753615e-06
