node_id,x,y
N339,-13734561.559968,6180856.565334
N340,-13734519.403277,6180848.141274
N341,-13730485.107007,6178149.514527
N342,-13730523.656947,6178149.078359
N343,-13731692.133114,6178167.783257
N344,-13731626.521406,6178138.341934
N345,-13732256.11105,6178237.989899
N346,-13732150.813944,6178241.076656
N347,-13732362.788518,6177549.821991
N348,-13732672.857828,6177601.823086
N349,-13730948.518915,6178179.593366
N350,-13730965.784568,6177966.46032
N351,-13733423.496286,6177624.217204
N352,-13733284.369187,6177606.956115
N353,-13734191.567377,6177315.183575
N354,-13734068.915562,6177372.73548
N355,-13733014.786776,6177516.44081
N356,-13732696.234921,6177462.343445
N357,-13728757.361718,6176256.925119
N358,-13728273.04401,6176269.889848
N359,-13728855.389662,6175709.086894
N360,-13728660.691873,6175667.713246
N361,-13733297.63847,6177506.443256
N362,-13733361.268691,6177537.35855
N363,-13734309.666225,6178434.420585
N364,-13734288.971931,6178478.055687
N365,-13735095.993712,6178884.438222
N366,-13735121.997945,6178815.333538
N367,-13735254.980208,6181057.839068
N368,-13735328.785031,6181107.814224
N369,-13735355.078695,6181611.811082
N370,-13735071.269653,6181400.505361
N371,-13735026.296578,6180911.489736
N372,-13734834.704603,6181386.945456
N373,-13734911.84901,6181428.665729
N374,-13735167.60554,6180933.942893
N375,-13734860.408273,6181400.790657
N376,-13732679.180775,6181661.940529
N377,-13733046.924713,6181454.44312
N378,-13732921.846133,6181492.219893
N379,-13732892.769482,6181345.175041
N380,-13732941.939301,6181664.256527
N381,-13732975.702502,6181803.972767
N382,-13732808.734398,6181604.258965
N383,-13732763.460761,6181374.123981
N384,-13732723.096314,6181778.194319
N385,-13731134.411333,6182112.413916
N386,-13731105.37921,6182083.428901
N387,-13731293.086135,6181943.103887
N388,-13731314.181179,6182082.136578
N389,-13732485.740896,6179613.737346
N390,-13732486.10825,6179603.485654
N391,-13732528.376261,6179102.392597
N392,-13732320.07523,6179597.042698
N393,-13732375.089322,6179921.461638
N394,-13732634.463735,6181414.870829
N395,-13733070.836139,6180509.188856
N396,-13733097.808852,6180651.352911
N397,-13732897.033018,6179805.400959
N398,-13732830.67547,6179637.579709
N399,-13734808.655842,6180890.077064
N400,-13734646.986546,6181307.147192
N401,-13734330.338254,6181222.768262
N402,-13729124.549059,6175559.642937
N403,-13729131.584451,6175592.01022
N404,-13729086.700432,6176256.136837
N405,-13729075.857913,6175872.973458
N406,-13730123.196211,6177005.641169
N407,-13730205.528106,6177283.128456
N408,-13731128.600456,6177394.877383
N409,-13730383.260805,6178758.577184
N410,-13729678.608428,6178732.807944
N411,-13730726.670302,6178617.669383
N412,-13729754.895675,6178561.249874
N413,-13730400.493062,6178216.634269
N414,-13730387.379626,6178753.946768
N415,-13730603.283779,6178917.338221
N416,-13730596.092539,6179158.513689
N417,-13730479.051227,6179299.312984
N418,-13730473.808079,6179428.906765
N419,-13730486.197938,6179031.239302
N420,-13730228.381997,6179024.310234
N421,-13730103.670772,6179401.893916
N422,-13730115.915916,6179153.547503
N423,-13729988.265856,6179391.54181
N424,-13729970.076251,6180380.434435
N425,-13729823.513009,6178891.249736
N426,-13729805.145294,6179380.065584
N427,-13729720.130598,6179708.889075
N428,-13729726.353358,6179374.193252
N429,-13729527.403164,6179121.586137
N430,-13729516.148763,6179359.462105
N431,-13729517.284222,6178878.583009
N432,-13729513.221061,6179120.847923
N433,-13731164.912874,6177348.077519
N434,-13731214.995512,6177191.006305
N435,-13731082.825881,6177531.034577
N436,-13731100.369833,6177404.992226
N437,-13730651.49625,6177145.683645
N438,-13730677.444823,6176969.947395
N439,-13730413.795741,6177242.636186
N440,-13730663.26272,6177613.716285
N441,-13730692.183524,6177655.619392
N442,-13730416.678916,6176984.875694
N443,-13730416.734576,6177100.629605
N444,-13730703.393397,6176484.422915
N445,-13730723.519961,6176469.696761
N446,-13730747.153088,6176473.168642
N447,-13730874.52485,6176772.728569
N448,-13730714.94836,6176990.5451
N449,-13731215.930596,6177009.398417
N450,-13731096.662894,6177424.215493
N451,-13730932.232874,6177413.916111
N452,-13730927.81349,6177437.332965
N453,-13730805.807328,6177419.099349
N454,-13730878.799518,6177129.832513
N455,-13730859.27408,6177280.042046
N456,-13730269.035876,6177639.113099
N457,-13730416.389485,6177611.451711
N458,-13730406.738086,6177571.343696
N459,-13729871.580766,6176378.002702
N460,-13730026.893719,6177282.407175
N461,-13731001.840951,6176979.826907
N462,-13731131.984568,6177003.29289
N463,-13730066.178367,6177004.03092
N464,-13730039.895836,6176892.790312
N465,-13730662.450088,6176632.054856
N466,-13729474.236975,6177417.589667
N467,-13729583.096305,6178059.714808
