OBJECTID,Label,Direction,SHAPE_Length,Year,PDF
1572,212(23),one,29.8638576364343,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EiOxHAy1y35KlOIYK8rfib0BGMXQhiYr5z6LsrFAUXpgjg?e=vFOyV9
1573,3415 (23),one,35.3408345328329,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EmqxWTEiE3NImiCKH43HhPYB-l0xFjbB0G7Ypj93jO2UwQ?e=BipMFh
1574,3126 (23),one,33.3313445647439,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EmqxWTEiE3NImiCKH43HhPYB-l0xFjbB0G7Ypj93jO2UwQ?e=BipMFh
1575,153 (23),one,48.5682942261413,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EqleRVFYYMJDgK38id1DoXwBtxnYbO88nDkzEyJuN2Yslw?e=NG7dYm
1576,304 (23),one,56.7330185503305,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EgP5OKlFEBRCmJ5ex603BqwBIbnzHjukcfYY693jBWSrog?e=a08q0M
1577,274 (23),one,58.857103424474,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EgP5OKlFEBRCmJ5ex603BqwBIbnzHjukcfYY693jBWSrog?e=a08q0M
1578,151 (23),one,51.2514801461405,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EviRGFPEYI9EiVAdTF37v6QBlLqinBPSiq5D_88D_IwT6g?e=rCRGBb
1579,119 (23),one,42.8321788655137,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EviRGFPEYI9EiVAdTF37v6QBlLqinBPSiq5D_88D_IwT6g?e=rCRGBb
1580,455(23),one,57.9735910301222,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/En5TYLx-kupOv_sQSnSU4pMBS7vnKg97M4cr13izvyJGNQ?e=dRbgeh
1581,364(23),one,46.7012403948554,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/En5TYLx-kupOv_sQSnSU4pMBS7vnKg97M4cr13izvyJGNQ?e=dRbgeh
1582,661 (23),one,26.794936202729,2023,
1583,364 (23),one,28.8923843110798,2023,
1584,194 (23),both,33.3132048511487,2023,
1585,348 (23),one,50.8071539414296,2023,
1586,489 (23),one,46.9977257915349,2023,
1587,228 (23),both,36.8325324800466,2023,
1588,3346 (23),one,25.160816341841,2023,
1589,3762 (23),one,24.5287860059313,2023,
1590,214 (23),one,40.6753651686403,2023,
1591,291 (23),one,39.8294148467518,2023,
1592,326 (23),one,37.6947823973738,2023,
1593,260 (23),one,37.045589437525,2023,
1594,178 (23),one,48.3750179097682,2023,
1595,211 (23),one,44.5446883522216,2023,
1596,591 (23),one,47.1443061039084,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EpERXoGS7llOm0eW2Z8BHggB-vr0KU4wTeyjDPfnmTOetg?e=sb6gcc
1597,197 (23),one,22.2411224059043,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EkrLNnRLvt9Brdp4bLBCWpoB-kO8OvDiCB_hq1ti3J6slA?e=q0d5qK
1598,182 (23),one,23.9221454198254,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EkrLNnRLvt9Brdp4bLBCWpoB-kO8OvDiCB_hq1ti3J6slA?e=q0d5qK
1599,150 (23),one,29.6364231729702,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EiOxHAy1y35KlOIYK8rfib0BGMXQhiYr5z6LsrFAUXpgjg?e=vFOyV9
1600,93 (23),one,8.57254065152961,2023,
1601,302 (2023),both,35.3388659624638,2023,
1602,4326 (23),one,26.4617875079101,2023,
1603,3355 (23),one,23.9333816958166,2023,
1604,6352 (23),one,46.9137152563773,2023,
1605,6207 (23),one,49.1505510825467,2023,
1606,348 (23),one,35.3281197692117,2023,
1607,654 (23),one,35.705982890841,2023,
1608,931 (23),one,9.27721405081178,2023,
1609,1251 (23),one,12.0223239398309,2023,
1610,687 (23),one,9.75043157450511,2023,
1611,753 (23),one,12.9688243059386,2023,
1612,929 (23),one,20.2141999993473,2023,
1613,729 (23),one,17.2521976962183,2023,
1614,615 (23),one,15.6723190373303,2023,
1615,539 (23),one,16.9336311439988,2023,
1616,7677 (23),one,29.6130087452172,2023,
1617,8012 (23),one,28.4588106951291,2023,
1618,8314 (23),one,26.1106410664909,2023,
1619,2518 (23),one,52.4797202783756,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Egdblc7oa-BHrjalzBsetyoBsARKLJ_enwWbdHu_LTJu7g?e=lhlFx0
1620,2499 (23),one,52.9341188557101,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Egdblc7oa-BHrjalzBsetyoBsARKLJ_enwWbdHu_LTJu7g?e=lhlFx0
1621,653 (23),one,50.7382919654421,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EjdYNwLMGnRNmM7MBp160DMBUBZ0U5yDx_EK89kYopr3Gg?e=UNxkDN
1622,570 (23),one,50.839786919473,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EjdYNwLMGnRNmM7MBp160DMBUBZ0U5yDx_EK89kYopr3Gg?e=MctNj2
1623,417 (23),one,50.6539535354806,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Ehyvh6NgyqVKsGjqu2AnpeMBPAGPCJDPMJKot1bpunqZzg?e=pwpKOS
1624,981 (23),one,50.9595554028803,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Ehyvh6NgyqVKsGjqu2AnpeMBPAGPCJDPMJKot1bpunqZzg?e=pwpKOS
1625,845 (23),one,28.864408749503,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EpSVsZPuHR9Pk6632CVqxzsBJ2awJvZtmQb5NeNCyt1GSw?e=G2wYuh
1626,1353 (23),one,31.8204728996495,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EpSVsZPuHR9Pk6632CVqxzsBJ2awJvZtmQb5NeNCyt1GSw?e=G2wYuh
1627,388 (23),one,48.3718426243999,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Ep_Wh5igxatJtkczwf1uQ5MBlLaYUisKEKJsdV4GyW9NxQ?e=tOQrtV
1628,313 (23),one,48.1657828846034,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Ep_Wh5igxatJtkczwf1uQ5MBlLaYUisKEKJsdV4GyW9NxQ?e=tOQrtV
1629,119 (23),one,29.8721089654064,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Er4RO5g5xjxNsAgoaO1mheoB2rGw_E_pC05B9mN_iFH3Tw?e=HHNAx6
1630,74 (23),one,31.5447919561577,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Er4RO5g5xjxNsAgoaO1mheoB2rGw_E_pC05B9mN_iFH3Tw?e=HHNAx6
1631,895 (23),one,21.8519852983015,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EuFcQjCRNqBFtifckPLOQ5YB-0Tz_qXb_WOazGpubxDQiQ?e=dRuuep
1632,548 (23),one,22.3065930842146,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EuFcQjCRNqBFtifckPLOQ5YB-0Tz_qXb_WOazGpubxDQiQ?e=dRuuep
1633,145 (23),one,34.6287314586698,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EnKshyhmJkRKieya-BHNF4oBEOpquLTO6eyYaOjcWCqmUg?e=73sleG
1634,180 (23),one,39.4661453259598,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EnKshyhmJkRKieya-BHNF4oBEOpquLTO6eyYaOjcWCqmUg?e=73sleG
1635,515 (23),one,14.076297611184,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EhiGhRIj8PZGp-8VBA9kl8MB9axQrAES2dUnUfyoGVKuug?e=JYbbQf
1636,485 (23),one,11.218798889652,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EhiGhRIj8PZGp-8VBA9kl8MB9axQrAES2dUnUfyoGVKuug?e=JYbbQf
1637,307 (23),one,37.8979594845865,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EixpomGbcIlCkDPiuHh-lHYBNAT3MPRoJDZv_on_5YIW0Q?e=3wcmIW
1638,291 (23),one,39.8024067678466,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EixpomGbcIlCkDPiuHh-lHYBNAT3MPRoJDZv_on_5YIW0Q?e=3wcmIW
1639,308 (23),one,46.2472901054447,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EogS17E-IGhMlxwxbc3sj08BtBY1hzyMrQ_lsSFzTm5YLA?e=rTBO0F
1640,291 (23),one,44.627463671639,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EogS17E-IGhMlxwxbc3sj08BtBY1hzyMrQ_lsSFzTm5YLA?e=rTBO0F
1641,598 (23),one,50.8896349060627,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/ErL043ec_QdFryUoPAAD8-4B_U1e2cwUzCQ8XamTDBPPXg?e=vE35kK
1642,507 (23),one,48.7078450809302,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/ErL043ec_QdFryUoPAAD8-4B_U1e2cwUzCQ8XamTDBPPXg?e=vE35kK
1643,292 (23),one,41.6921696046441,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EtA0d7fBdFhKlcFi0YW9ZjMBb6M7LfIloj7YhYurj7PtoQ?e=NXwNcJ
1644,598 (23),one,25.8960311396031,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EoCjIpHaHX9ApJvWt_jr9mIB3ptBLqqfwugCKNUC9rCe3w?e=ik26zC
1645,321 (23),one,27.2639986314379,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EoCjIpHaHX9ApJvWt_jr9mIB3ptBLqqfwugCKNUC9rCe3w?e=ik26zC
1646,284 (23),one,46.0728954970972,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EtA0d7fBdFhKlcFi0YW9ZjMBb6M7LfIloj7YhYurj7PtoQ?e=NXwNcJ
