node_id,x,y,longitude,latitude,nearest_DAUID,nearest_Population_Density_Demand,nearest_Commute_PT_Demand,nearest_Bus_Stop_Proximity,nearest_Route_Coverage_Percent,nearest_Bus_Stop_Density,nearest_Income_Demand,nearest_Overall_Demand,nearest_Employment_Demand,nearest_Commute_Duration_Demand,nearest_Overall_Accessibility,nearest_demand_dist,nearest_school_dist,schools_within_0.5km,schools_within_1.0km,schools_within_2.0km,nearest_healthcare_dist,healthcare_within_0.5km,healthcare_within_1.0km,healthcare_within_2.0km,nearest_pop_dist,population_within_0.5km,population_within_1.0km,population_within_2.0km,route_connections,bus_stop_density_per_km2,ridership_proxy
N892,-13734195.396767,6180725.271773,-123.37637639999771,48.44211820000231,2021S051259170386,3,2,5,4,1,4,22,5,3,7,0.2922821517844976,1.2464838382423997,0,0,3,0.5915337536137493,0,3,16,0.29149703419186435,1760,10290,39179,2,90.71831756238035,48.44092051887459
N893,-13733699.746734,6180386.089319,-123.37192389999554,48.440096899999816,2021S051259170384,1,3,5,3,3,4,18,3,2,10,0.1051364757652922,1.068079188619666,0,0,4,0.5177486635908238,0,3,29,0.28532163726374143,1712,9223,45766,2,103.45071300973197,45.628979365651105
N894,-13733578.35283,6180315.462266,-123.3708334000019,48.43967600000183,2021S051259170384,1,3,5,3,3,4,18,3,2,10,0.09260932535164772,1.0374693306128029,0,0,3,0.5364739482193356,0,4,31,0.2975836434135071,2465,9741,49444,2,105.9971920992023,46.62819571884375
N895,-13729059.193386,6178097.661071,-123.3302371000027,48.42645730000005,2021S051259170178,5,2,4,5,1,5,17,2,2,12,0.10651088986460973,0.6898741353807062,0,1,5,0.14289943137289182,7,13,28,0.3032925714431346,3542,13172,38253,4,84.03380995252074,44.20189901264705
N896,-13729682.849701,6178108.68263,-123.33583950000074,48.42652300000035,2021S051259170612,4,4,2,3,2,5,21,3,2,13,0.16946250541867064,0.8305156176332005,0,2,4,0.04718438746381627,6,11,38,0.1683830679719714,5835,15749,50416,2,95.4929658551372,59.13686786586568
N897,-13734001.556138,6178379.797335,-123.37463510000055,48.42813909999836,2021S051259170723,4,2,5,5,1,3,16,2,4,12,0.3000899592268135,1.3011990483612461,0,0,3,0.4531791693981235,2,15,37,0.36897494058952873,2265,10288,56596,3,86.58028904199107,26.573907900110033
N898,-13734014.458067,6178477.13299,-123.37475100000073,48.42871930000176,2021S051259170723,4,2,5,5,1,3,16,2,4,12,0.24027182965700306,1.3607294786486366,0,0,3,0.48440397099079247,1,14,36,0.3698695286427134,2265,9963,55583,2,89.12676813146139,29.85816237445393
N899,-13728187.328002,6179055.549804,-123.32240500000131,48.43216699999742,2021S051259170181,2,4,4,3,3,3,22,2,4,9,0.3682072661216872,0.9770238666561084,0,1,4,0.033831613067684355,4,8,21,0.8189410935884487,1643,7611,25486,1,36.60563691113593,45.93734270512437
N900,-13728978.086005,6178662.446237,-123.32950850000266,48.42982389999887,2021S051259170179,3,2,4,3,1,4,17,2,1,10,0.1772835467039047,1.0614866699464196,0,0,5,0.04783249855878873,5,13,29,0.5472262113122416,3920,13936,38978,2,68.436625529515,36.56949541776438
N901,-13728554.426287,6178946.127922,-123.32570270000318,48.431514799998915,2021S051259170600,1,4,4,4,1,4,19,2,3,11,0.23397892781603208,1.2295615186996767,0,0,5,0.09215555823847647,6,11,25,0.6907016902561578,2167,12101,30691,4,50.29296201703893,42.442336365420296
